"COURSE","ITYPE","SECTION","SUFFIX","EXT_ID","DATE_PATTERN","DAY","START_TIME","END_TIME","ROOM","INSTRUCTOR"
"CS 217","Lab","1","","","Full Term","M","1:30p","4:30p","CSED Cogni-4","Joshi, A"
"CS 217","Lab","2","","","Full Term","F","9:30a","12:30p","CSED Cogni-1","Joshi, A"
"CS 218","Lab","1","","","Full Term","W","1:30p","4:30p","CSED DML","Gaikwad, S"
"CS 218","Lab","2","","","Full Term","F","3:30p","6:30p","CSED DML","Gaikwad, S"
"CS 219","Lab","1","","","Full Term","M","4:30p","7:30p","CSED DML","(Adjunct), P Y"
"CS 219","Lab","2","","","Full Term","F","8:30a","11:30a","CSED DML","(Adjunct), P Y"
"CS 220","Lec","1","","","Full Term","TTh","2:30p","3:30p","NCSE NC28","(Adjunct), S S"
"CS 221","Lec","1","","","Full Term","TTh","8:30a","9:30a","AC NC-12","Teacher1, F R"
"CS 221","Lec","2","","","Full Term","TTh","4:30p","5:30p","AC AC-202NC-06","Teacher2, F R"
"CS 221","Lec","3","","","Full Term","MWF","9:30a","10:30a","BHAU Bhau1","Teacher3, F R"
"CS 223","Lec","1","","","Full Term","MWF","10:30a","11:30a","AC NC-03","(Adjunct), T F"
"CS 223","Lec","2","","","Full Term","MTWThF","8:30a","9:30a","ONL online1","(Adjunct), T F"
"CS 223","Lec","3","","","Full Term","TTh","2:30p","3:30p","AC NC-13","A.M., A"
"CS 223","Lec","4","","","Full Term","TTh","9:30a","10:30a","NCSE NC27","(Adjunct), P S"
"CS 223","Lec","5","","","Full Term","TTh","6:30p","7:30p","BHAU Bhau2","(Adjunct), V K"
"CS 223","Lab","1","","","Full Term","W","5:30p","6:30p","UNAV Unavail-C","(Adjunct), T F"
"CS 223","Lab","2","","","Full Term","Th","5:30p","6:30p","UNAV Unavail-C","(Adjunct), T F"
"CS 223","Lab","3","","","Full Term","T","1:30p","2:30p","UNAV Unavail-B","(Adjunct), T F"
"CS 223","Lab","4","","","Full Term","W","1:30p","2:30p","UNAV Unavail-A","(Adjunct), T F"
"CS 223","Lab","5","","","Full Term","Th","3:30p","4:30p","UNAV Unavail-C","(Adjunct), P S"
"CS 223","Lab","6","","","Full Term","M","4:30p","5:30p","UNAV Unavail-C","(Adjunct), T F"
"CS 223","Lab","7","","","Full Term","Th","2:30p","3:30p","UNAV Unavail-C","(Adjunct), P S"
"CS 223","Lab","8","","","Full Term","W","10:30a","11:30a","UNAV Unavail-C","(Adjunct), P S"
"CS 223","Lab","9","","","Full Term","Th","4:30p","5:30p","UNAV Unavail-C","(Adjunct), T F"
"CS 223","Lab","10","","","Full Term","F","4:30p","5:30p","ENTCX CET-A","A.M., A"
"CS 223","Lab","11","","","Full Term","W","5:30p","6:30p","UNAV Unavail-D","A.M., A"
"CS 223","Lab","12","","","Full Term","M","5:30p","6:30p","CSED FOSS1","A.M., A"
"CS 223","Lab","13","","","Full Term","M","3:30p","4:30p","CSED DML","A.M., A"
"CS 223","Lab","14","","","Full Term","T","4:30p","5:30p","UNAV Unavail-B","(Adjunct), P S"
"CS 223","Lab","15","","","Full Term","F","5:30p","6:30p","ENTCX CET-B","(Adjunct), T F"
"CS 223","Lab","16","","","Full Term","W","2:30p","3:30p","UNAV Unavail-D","(Adjunct), P S"
"CS 223","Lab","17","","","Full Term","F","1:30p","2:30p","ENTCX CET-A","(Adjunct), T F"
"CS 223","Lab","18","","","Full Term","M","6:30p","7:30p","ENTCX CET-B","(Adjunct), V K"
"CS 223","Lab","19","","","Full Term","S","6:30p","7:30p","ENTCX CET-C","(Adjunct), V K"
"CS 223","Lab","20","","","Full Term","M","11:30a","12:30p","UNAV Unavail-B","(Adjunct), V K"
"CS 224","Lec","1","","","Full Term","TTh","10:30a","11:30a","AC NC-11","(Adjunct), A G"
"CS 224","Lec","2","","","Full Term","MTWThF","2:30p","3:30p","AC AC-202NC-06","(Adjunct), S A"
"CS 224","Lec","3","","","Full Term","TTh","5:30p","6:30p","AC NC-12","(Adjunct), P P"
"CS 225","Lec","1","","","Full Term","M","4:30p","5:30p","AC NC-09","(Adjunct), S C"
"CS 225","Lec","2","","","Full Term","M","9:30a","10:30a","BHAU Bhau2","(Adjunct), P Y"
"CS 225","Lec","3","","","Full Term","M","6:30p","7:30p","AC NC-13","(Adjunct), A C"
"CS 225","Lec","4","","","Full Term","F","5:30p","6:30p","AC NC-12","(Adjunct), A M"
"CS 225","Lab","1","","","Full Term","M","10:30a","12:30p","ENTCX CET-A","(Adjunct), S A"
"CS 225","Lab","2","","","Full Term","F","5:30p","7:30p","UNAV Unavail-D","(Adjunct), P Y"
"CS 225","Lab","3","","","Full Term","T","10:30a","12:30p","UNAV Unavail-A","(Adjunct), P Y"
"CS 225","Lab","4","","","Full Term","Th","8:30a","10:30a","UNAV Unavail-B","(Adjunct), P Y"
"CS 225","Lab","5","","","Full Term","W","10:30a","12:30p","CSED FOSS1","(Adjunct), P Y"
"CS 225","Lab","6","","","Full Term","W","2:30p","4:30p","UNAV Unavail-A","(Adjunct), S C"
"CS 225","Lab","7","","","Full Term","Th","3:30p","5:30p","UNAV Unavail-B","(Adjunct), V K"
"CS 225","Lab","8","","","Full Term","T","2:30p","4:30p","UNAV Unavail-B","(Adjunct), S C"
"CS 225","Lab","9","","","Full Term","M","3:30p","5:30p","ENTCX CET-B","(Adjunct), A M"
"CS 225","Lab","10","","","Full Term","M","8:30a","10:30a","ENTCX CET-A","(Adjunct), S C"
"CS 225","Lab","11","","","Full Term","M","1:30p","3:30p","ENTCX CET-A","(Adjunct), P P"
"CS 225","Lab","12","","","Full Term","W","1:30p","3:30p","UNAV Unavail-B","(Adjunct), A C"
"CS 225","Lab","13","","","Full Term","T","8:30a","10:30a","UNAV Unavail-B","(Adjunct), A C"
"CS 225","Lab","14","","","Full Term","Th","10:30a","12:30p","UNAV Unavail-A","(Adjunct), A C"
"CS 225","Lab","15","","","Full Term","T","1:30p","3:30p","ENTCX CET-A","(Adjunct), A C"
"CS 225","Lab","16","","","Full Term","W","8:30a","10:30a","CSED FOSS1","(Adjunct), A M"
"CS 225","Lab","17","","","Full Term","F","1:30p","3:30p","ENTCX CET-D","(Adjunct), A M"
"CS 225","Lab","18","","","Full Term","W","3:30p","5:30p","UNAV Unavail-B","(Adjunct), A M"
"CS 225","Lab","19","","","Full Term","M","3:30p","5:30p","ENTCX CET-C","(Adjunct), R T"
"CS 225","Lab","20","","","Full Term","F","8:30a","10:30a","UNAV Unavail-A","(Adjunct), P P"
"CS 225","Lab","21","","","Full Term","F","9:30a","11:30a","UNAV Unavail-B","(Adjunct), V K"
"CS 225","Lab","22","","","Full Term","M","9:30a","11:30a","UNAV Unavail-B","(Adjunct), V K"
"CS 225","Lab","23","","","Full Term","W","9:30a","11:30a","UNAV Unavail-B","(Adjunct), V K"
"CS 225","Lab","24","","","Full Term","W","5:30p","7:30p","UNAV Unavail-B","(Adjunct), V K"
"CS 226","Lec","1","","","Full Term","F","9:30a","10:30a","AC NC-08","(Adjunct), S P"
"CS 226","Lec","2","","","Full Term","M","10:30a","11:30a","BHAU Bhau2","Gaikwad(Adjunct), M"
"CS 226","Lab","1","","","Full Term","M","8:30a","10:30a","ENTCX CET-B","(Adjunct), S P"
"CS 226","Lab","2","","","Full Term","M","10:30a","12:30p","ENTCX CET-C","(Adjunct), R T"
"CS 226","Lab","3","","","Full Term","M","5:30p","7:30p","ENTCX CET-D","(Adjunct), A M"
"CS 226","Lab","4","","","Full Term","T","4:30p","6:30p","UNAV Unavail-C","(Adjunct), P Y"
"CS 226","Lab","5","","","Full Term","W","1:30p","3:30p","ENTCX CET-C","Gaikwad(Adjunct), M"
"CS 226","Lab","6","","","Full Term","M","1:30p","3:30p","UNAV Unavail-C","Gaikwad(Adjunct), M"
"CS 226","Lab","7","","","Full Term","M","5:30p","7:30p","ENTCX CET-A","Gaikwad(Adjunct), M"
"CS 227","Lec","1","","","Full Term","F","2:30p","3:30p","AC NC-10","Gadade, H"
"CS 227","Lab","1","","","Full Term","W","8:30a","10:30a","UNAV Unavail-C","Gadade, H"
"CS 227","Lab","2","","","Full Term","Th","1:30p","3:30p","ENTCX CET-A","(Adjunct), S C"
"CS 227","Lab","3","","","Full Term","M","1:30p","3:30p","CSED FOSS2","Gadade, H"
"CS 227","Lab","4","","","Full Term","W","3:30p","5:30p","ENTCX CET-D","(Adjunct), P P"
"CS 227","Lab","5","","","Full Term","T","2:30p","4:30p","UNAV Unavail-C","(Adjunct), P P"
"CS 227","Lab","6","","","Full Term","F","10:30a","12:30p","UNAV Unavail-A","(Adjunct), S C"
"CS 227","Lab","7","","","Full Term","M","10:30a","12:30p","ENTCX CET-D","(Adjunct), A C"
"CS 227","Lab","8","","","Full Term","M","4:30p","6:30p","UNAV Unavail-D","Gadade, H"
"CS 228","Lec","1","","","Full Term","MTWThF","4:30p","5:30p","AC NC-03","Teacher2, A S"
"CS 228","Lec","2","","","Full Term","TTh","3:30p","4:30p","AC AC-203NC-07","Teacher2, A S"
"MT 111","Lab","1","","","Full Term","M","4:30p","7:30p","CSED Cogni-34","Sawant, S"
"MT 112","Lab","1","","","Full Term","Th","1:30p","4:30p","CSED Cogni-3","Pattanshetti, T"
"MT 113","Lab","1","","","Full Term","M","3:30p","6:30p","CSED Cogni-1","Haribhakta, Y"
"MT 114","Lab","1","","","Full Term","W","3:30p","6:30p","CSED GML","Ghosh, S"
"MT 115","Lec","1","","","Full Term","MTWThF","9:30a","10:30a","CSED FOSS2","Abraham, J"
"MT 115","Lab","1","","","Full Term","Th","10:30a","12:30p","CSED Cogni-4","Pattanshetti, T"
"MT 115","Lab","2","","","Full Term","T","10:30a","12:30p","CSED Cogni-4","Pattanshetti, T"
"MT 116","Lec","1","","","Full Term","TTh","6:30p","7:30p","ENTCX CET-A","Kshirsagar, D"
"MT 116","Lab","1","","","Full Term","W","10:30a","12:30p","CSED ISL","Kshirsagar, D"
"MT 116","Lab","2","","","Full Term","M","8:30a","10:30a","ENTCX CET-D","Kshirsagar, D"
"MT 117","Lec","1","","","Full Term","TTh","5:30p","6:30p","CSED FOSS1","Pachghare, V"
"MT 117","Lab","1","","","Full Term","F","4:30p","6:30p","CSED Cogni-1","Pachghare, V"
"MT 117","Lab","2","","","Full Term","M","5:30p","7:30p","CSED Cogni-5","Pachghare, V"
"MT 118","Lab","1","","","Full Term","W","9:30a","12:30p","CSED Cogni-4","Pattanshetti, T"
"MT 119","Lab","1","","","Full Term","Th","1:30p","4:30p","CSED GML","Ugale, T"
"MT 124","Lab","1","","","Full Term","W","9:30a","12:30p","CSED DBMSL","(Adjunct), A A"
"MT 125","Lab","1","","","Full Term","W","4:30p","7:30p","CSED Cogni-1","Gaikwad, S"
"MT 126","Lec","1","","","Full Term","TTh","11:30a","12:30p","UNAV Unavail-C","Sawant, S"
"MT 127","Lec","1","","","Full Term","TTh","8:30a","9:30a","UNAV Unavail-A","Sawant, S"
"MT 128","Lec","1","","","Full Term","MTWThFS","6:30p","7:30p","UNAV Unavail-C","(Adjunct), S C"
"MT 129","Lec","1","","","Full Term","TTh","10:30a","11:30a","ENTCX CET-D","(Adjunct), A M"
"MT 130","Lab","1","","","Full Term","W","3:30p","6:30p","CSED Cogni-5","(Tenured), C P"
"MT 131","Lab","1","","","Full Term","M","8:30a","11:30a","CSED Cogni-5","(Adjunct), A M"
"MT 132","Lab","1","","","Full Term","M","8:30a","11:30a","CSED Cogni-34","Deshmukh, P"
"MT 133","Lab","1","","","Full Term","M","8:30a","11:30a","CSED Cogni-4","Haribhakta, Y"
"MT 133","Lab","2","","","Full Term","W","1:30p","4:30p","AC NC-12","Haribhakta, Y"
"MT 134","Lec","1","","","Full Term","MTWThF","8:30a","9:30a","AC NC-11","(Adjunct), P T"
"MT 134","Lab","1","","","Full Term","M","4:30p","6:30p","CSED PL","(Adjunct), P T"
"MT 134","Lab","2","","","Full Term","T","4:30p","6:30p","CSED Cogni-1","(Adjunct), P T"
"MT 134","Lab","3","","","Full Term","Th","10:30a","12:30p","CSED Cogni-2","(Adjunct), P T"
"MT 134","Lab","4","","","Full Term","T","10:30a","12:30p","CSED GML","(Adjunct), P T"
"MT 135","Lec","1","","","Full Term","TTh","2:30p","3:30p","AC NC-12","Patil, A"
"MT 135","Lab","1","","","Full Term","Th","10:30a","12:30p","CSED Cogni-3","Gadade, H"
"MT 135","Lab","2","","","Full Term","F","4:30p","6:30p","CSED Cogni-34","Gadade, H"
"MT 135","Lab","3","","","Full Term","W","1:30p","3:30p","ENTCX CET-A","Attar, V"
"MT 135","Lab","4","","","Full Term","W","3:30p","5:30p","CSED Cogni-3","Gadade, H"
"MT 136","Lec","1","","","Full Term","TThS","6:30p","7:30p","AC NC-12","(Adjunct), A G"
"MT 136","Lab","1","","","Full Term","W","8:30a","10:30a","CSED Cogni-2","(Adjunct), A G"
"MT 136","Lab","2","","","Full Term","F","2:30p","4:30p","ENTCX CET-A","(Adjunct), A G"
"MT 136","Lab","3","","","Full Term","W","5:30p","7:30p","CSED Cogni-4","(Adjunct), A G"
"MT 136","Lab","4","","","Full Term","T","1:30p","3:30p","CSED GML","(Adjunct), A G"
"MT 137","Lab","1","","","Full Term","M","1:30p","4:30p","AC AC-201NC-05","Biswas, A"
"MT 138","Lab","1","","","Full Term","W","1:30p","4:30p","ENTCX SH","(Adjunct), A U"
"MT 139","Lab","1","","","Full Term","F","1:30p","4:30p","ENTCX SH","(Adjunct), S C"
"MT 140","Lec","1","","","Full Term","F","2:30p","3:30p","CSED Cogni-1","Teacher1, A S"
