"COURSE","ITYPE","SECTION","SUFFIX","EXT_ID","DATE_PATTERN","DAY","START_TIME","END_TIME","ROOM","INSTRUCTOR"
"CS 102","Lec","1","","","Full Term","MTWThF","3:30p","4:30p","NCSE NC27","Teacher1, C"
"CS 102","Lec","2","","","Full Term","MWF","8:30a","9:30a","BHAU Bhau1","Teacher1, C"
"CS 107","Lec","1","","","Full Term","TTh","4:30p","5:30p","ENTCX SH","Joshi, A"
"CS 107","Lec","2","","","Full Term","TTh","5:30p","6:30p","ENTCX SH","Joshi, A"
"CS 109","Lec","1","","","Full Term","MWF","9:30a","10:30a","AC AC-203NC-07","Attar, V"
"CS 109","Lec","2","","","Full Term","MWF","5:30p","6:30p","AC AC-202NC-06","Khobragade, A"
"CS 110","Lec","1","","","Full Term","TTh","5:30p","6:30p","AC NC-14","Kumbhar, S"
"CS 110","Lec","2","","","Full Term","MTWThF","10:30a","11:30a","AC AC-201NC-05","Kumbhar, S"
"CS 110","Lab","1","","","Full Term","W","1:30p","3:30p","UNAV Unavail-C","Kumbhar, S"
"CS 110","Lab","2","","","Full Term","M","1:30p","3:30p","CSED Cogni-2","Kumbhar, S"
"CS 110","Lab","3","","","Full Term","T","2:30p","4:30p","CSED Cogni-2","Kumbhar, S"
"CS 110","Lab","4","","","Full Term","F","1:30p","3:30p","UNAV Unavail-C","Kumbhar, S"
"CS 110","Lab","5","","","Full Term","F","4:30p","6:30p","CSED Cogni-5","(Adjunct), R T"
"CS 110","Lab","6","","","Full Term","M","5:30p","7:30p","CSED Cogni-4","Gaikwad, S"
"CS 110","Lab","7","","","Full Term","Th","2:30p","4:30p","CSED Cogni-4","Pachghare, V"
"CS 110","Lab","8","","","Full Term","W","8:30a","10:30a","CSED Cogni-34","Gaikwad, S"
"CS 110","Lab","9","","","Full Term","F","8:30a","10:30a","CSED Cogni-5","Gaikwad, S"
"CS 110","Lab","10","","","Full Term","M","10:30a","12:30p","CSED PL","Gaikwad, S"
"CS 110","Lab","11","","","Full Term","Th","8:30a","10:30a","CSED Cogni-3","Pachghare, V"
"CS 128","Lec","1","","","Full Term","TTh","4:30p","5:30p","AC NC-12","Gadade, H"
"CS 128","Lec","2","","","Full Term","TTh","2:30p","3:30p","AC NC-11","Gaikwad(Adjunct), M"
"CS 142","Lab","1","","","Full Term","T","5:30p","7:30p","CSED GML","Ghosh, S"
"CS 142","Lab","2","","","Full Term","W","1:30p","3:30p","CSED GML","Ghosh, S"
"CS 142","Lab","3","","","Full Term","F","1:30p","3:30p","CSED PL","Ghosh, S"
"CS 142","Lab","4","","","Full Term","Th","1:30p","3:30p","UNAV Unavail-B","Ghosh, S"
"CS 142","Lab","5","","","Full Term","Th","4:30p","6:30p","CSED Cogni-1","Ghosh, S"
"CS 142","Lab","6","","","Full Term","F","3:30p","5:30p","CSED FOSS2","Deshmukh, P"
"CS 142","Lab","7","","","Full Term","W","8:30a","10:30a","CSED Cogni-5","Deshmukh, P"
"CS 142","Lab","8","","","Full Term","M","1:30p","3:30p","CSED FOSS1","Deshmukh, P"
"CS 142","Lab","9","","","Full Term","T","1:30p","3:30p","CSED Cogni-5","Deshmukh, P"
"CS 142","Lab","10","","","Full Term","F","9:30a","11:30a","CSED Cogni-2","Deshmukh, P"
"CS 142","Lab","11","","","Full Term","T","8:30a","10:30a","CSED DBMSL","Deshmukh, P"
"CS 171","Lec","1","","","Full Term","TTh","3:30p","4:30p","NCSE NC28","(Adjunct), S S"
"CS 171","Lec","2","","","Full Term","TTh","8:30a","9:30a","AC NC-14","Biswas, A"
"CS 171","Lab","1","","","Full Term","T","8:30a","10:30a","CSED Cogni-5","(Adjunct), S S"
"CS 171","Lab","2","","","Full Term","F","8:30a","10:30a","CSED Cogni-34","(Adjunct), S S"
"CS 171","Lab","3","","","Full Term","M","2:30p","4:30p","CSED GML","(Adjunct), S S"
"CS 171","Lab","4","","","Full Term","W","10:30a","12:30p","CSED ASL","(Adjunct), S S"
"CS 171","Lab","5","","","Full Term","Th","5:30p","7:30p","CSED Cogni-2","(Adjunct), S S"
"CS 171","Lab","6","","","Full Term","F","4:30p","6:30p","CSED Cogni-3","Biswas, A"
"CS 171","Lab","7","","","Full Term","Th","4:30p","6:30p","CSED GML","Biswas, A"
"CS 171","Lab","8","","","Full Term","F","10:30a","12:30p","CSED GML","Biswas, A"
"CS 171","Lab","9","","","Full Term","T","10:30a","12:30p","CSED Cogni-1","Biswas, A"
"CS 171","Lab","10","","","Full Term","F","1:30p","3:30p","CSED Cogni-4","(Adjunct), A M"
"CS 171","Lab","11","","","Full Term","W","8:30a","10:30a","CSED GML","(Adjunct), A M"
"CS 177","Lab","1","","","Full Term","F","5:30p","7:30p","CSED Cogni-4","Joshi, A"
"CS 177","Lab","2","","","Full Term","W","4:30p","6:30p","CSED DML","Joshi, A"
"CS 177","Lab","3","","","Full Term","T","10:30a","12:30p","CSED Cogni-3","Ghosh, S"
"CS 177","Lab","4","","","Full Term","W","10:30a","12:30p","CSED Cogni-1","Joshi, A"
"CS 179","Lec","1","","","Full Term","MWF","5:30p","6:30p","AC NC-04","(Adjunct), A M"
"CS 190","Lec","1","","","Full Term","MWF","1:30p","2:30p","AC AC-203NC-07","Abraham, J"
"CS 190","Lec","2","","","Full Term","MWF","11:30a","12:30p","AC NC-14","A.M., A"
"CS 190","Lab","1","","","Full Term","F","4:30p","5:30p","UNAV Unavail-A","Abraham, J"
"CS 190","Lab","2","","","Full Term","T","1:30p","2:30p","CSED Cogni-3","Abraham, J"
"CS 190","Lab","3","","","Full Term","M","6:30p","7:30p","CSED Cogni-3","Abraham, J"
"CS 190","Lab","4","","","Full Term","W","3:30p","4:30p","CSED ASL","Abraham, J"
"CS 190","Lab","5","","","Full Term","M","11:30a","12:30p","CSED Cogni-1","Abraham, J"
"CS 190","Lab","6","","","Full Term","F","6:30p","7:30p","CSED Cogni-34","A.M., A"
"CS 190","Lab","7","","","Full Term","W","2:30p","3:30p","CSED Cogni-3","A.M., A"
"CS 190","Lab","8","","","Full Term","T","5:30p","6:30p","CSED Cogni-5","A.M., A"
"CS 190","Lab","9","","","Full Term","Th","6:30p","7:30p","CSED GML","A.M., A"
"CS 190","Lab","10","","","Full Term","M","4:30p","5:30p","CSED Cogni-5","A.M., A"
"CS 190","Lab","11","","","Full Term","T","6:30p","7:30p","CSED Cogni-5","A.M., A"
"CS 195","Lec","1","","","Full Term","MTWThF","4:30p","5:30p","CSED FOSS1","Attar, V"
"CS 195","Lab","1","","","Full Term","M","1:30p","3:30p","CSED Cogni-3","Attar, V"
"CS 195","Lab","2","","","Full Term","T","2:30p","4:30p","CSED Cogni-4","Attar, V"
"CS 196","Lec","1","","","Full Term","TTh","5:30p","6:30p","UNAV Unavail-A","Mane, S B"
"CS 196","Lab","1","","","Full Term","M","5:30p","7:30p","CSED FOSS2","Mane, S B"
"CS 196","Lab","2","","","Full Term","W","3:30p","5:30p","CSED ISL","Mane, S B"
"CS 197","Lec","1","","","Full Term","TTh","1:30p","2:30p","CSED PL","(Adjunct), P T"
"CS 197","Lab","1","","","Full Term","M","1:30p","3:30p","CSED DBMSL","(Adjunct), P T"
"CS 197","Lab","2","","","Full Term","T","3:30p","5:30p","CSED Cogni-5","(Adjunct), T F"
"CS 200","Lec","1","","","Full Term","MWF","9:30a","10:30a","AC NC-01","(Tenured), C P"
"CS 200","Lec","2","","","Full Term","MWF","5:30p","6:30p","ONL Online3","Ugale, T"
"CS 200","Lab","1","","","Full Term","Th","8:30a","10:30a","CSED Cogni-5","(Tenured), C P"
"CS 200","Lab","2","","","Full Term","F","4:30p","6:30p","CSED GML","(Tenured), C P"
"CS 200","Lab","3","","","Full Term","F","2:30p","4:30p","CSED GML","(Tenured), C P"
"CS 200","Lab","4","","","Full Term","M","3:30p","5:30p","CSED Cogni-3","(Tenured), C P"
"CS 200","Lab","5","","","Full Term","W","10:30a","12:30p","CSED GML","Khobragade, A"
"CS 200","Lab","6","","","Full Term","Th","5:30p","7:30p","CSED Cogni-5","Ugale, T"
"CS 200","Lab","7","","","Full Term","T","8:30a","10:30a","CSED Cogni-3","Ugale, T"
"CS 200","Lab","8","","","Full Term","T","4:30p","6:30p","CSED Cogni-4","Ugale, T"
"CS 200","Lab","9","","","Full Term","T","2:30p","4:30p","CSED Cogni-3","Ugale, T"
"CS 200","Lab","10","","","Full Term","T","10:30a","12:30p","CSED Cogni-2","Khobragade, A"
"CS 200","Lab","11","","","Full Term","T","5:30p","7:30p","CSED Cogni-2","Khobragade, A"
"CS 201","Lec","1","","","Full Term","TTh","5:30p","6:30p","AC NC-02","Ghotkar, S"
"CS 201","Lec","2","","","Full Term","TTh","10:30a","11:30a","AC NC-02","(Adjunct), R T"
"CS 202","Lab","1","","","Full Term","Th","10:30a","12:30p","CSED GML","Ghotkar, S"
"CS 202","Lab","2","","","Full Term","Th","2:30p","4:30p","CSED Cogni-2","Ghotkar, S"
"CS 202","Lab","3","","","Full Term","F","2:30p","4:30p","CSED Cogni-3","Ghotkar, S"
"CS 203","Lab","1","","","Full Term","T","9:30a","12:30p","ENTCX SH","(Adjunct), A A"
"CS 203","Lab","2","","","Full Term","F","4:30p","7:30p","BHAU Bhau1","(Adjunct), A A"
"CS 204","Lab","1","","","Full Term","Th","8:30a","10:30a","CSED DBMSL","(Adjunct), A A"
"CS 204","Lab","2","","","Full Term","W","1:30p","3:30p","CSED Cogni-4","(Adjunct), A A"
"CS 204","Lab","3","","","Full Term","F","9:30a","11:30a","CSED Cogni-4","(Adjunct), A A"
"CS 204","Lab","4","","","Full Term","M","10:30a","12:30p","CSED GML","(Adjunct), A A"
"CS 205","Lab","1","","","Full Term","M","4:30p","7:30p","ENTCX SH","Patil, A"
"CS 205","Lab","2","","","Full Term","M","1:30p","4:30p","ENTCX SH","Patil, A"
"CS 206","Lab","1","","","Full Term","Th","9:30a","11:30a","CSED Cogni-34","Patil, A"
"CS 206","Lab","2","","","Full Term","M","9:30a","11:30a","CSED Cogni-2","Patil, A"
"CS 206","Lab","3","","","Full Term","W","1:30p","3:30p","CSED Cogni-5","Patil, A"
"CS 206","Lab","4","","","Full Term","Th","4:30p","6:30p","CSED Cogni-4","Patil, A"
"CS 211","Lab","1","","","Full Term","M","8:30a","11:30a","AC NC-14","Ghotkar, S"
"CS 211","Lab","2","","","Full Term","W","1:30p","4:30p","ONL Online3","Ghotkar, S"
"CS 212","Lec","1","","","Full Term","TTh","10:30a","11:30a","AC NC-08","Khadse, V"
"CS 212","Lec","2","","","Full Term","MTWThF","4:30p","5:30p","AC NC-11","(Adjunct), S P"
"CS 212","Lab","1","","","Full Term","M","1:30p","3:30p","CSED ASL","Ghotkar, S"
"CS 212","Lab","2","","","Full Term","W","5:30p","7:30p","CSED Cogni-34","Khadse, V"
"CS 212","Lab","3","","","Full Term","M","8:30a","10:30a","ENTCX CET-C","Khadse, V"
"CS 212","Lab","4","","","Full Term","Th","10:30a","12:30p","CSED Cogni-1","(Adjunct), S P"
"CS 212","Lab","5","","","Full Term","Th","1:30p","3:30p","CSED Cogni-5","(Adjunct), S P"
"CS 212","Lab","6","","","Full Term","M","4:30p","6:30p","CSED GML","Ghotkar, S"
"CS 213","Lab","1","","","Full Term","Th","9:30a","12:30p","ENTCX SH","Kshirsagar, D"
"CS 213","Lab","2","","","Full Term","M","1:30p","4:30p","AC NC-08","Kshirsagar, D"
"CS 214","Lab","1","","","Full Term","T","9:30a","11:30a","CSED Cogni-34","Kshirsagar, D"
"CS 214","Lab","2","","","Full Term","W","3:30p","5:30p","CSED Cogni-34","Kshirsagar, D"
"CS 214","Lab","3","","","Full Term","Th","3:30p","5:30p","CSED Cogni-5","Kshirsagar, D"
"CS 215","Lab","1","","","Full Term","F","3:30p","6:30p","CSED Cogni-2","Sawant, S"
"CS 215","Lab","2","","","Full Term","W","3:30p","6:30p","CSED DBMSL","Sawant, S"
"CS 216","Lab","1","","","Full Term","W","10:30a","12:30p","CSED Cogni-2","Sawant, S"
"CS 216","Lab","2","","","Full Term","W","8:30a","10:30a","CSED Cogni-1","Sawant, S"
"CS 216","Lab","3","","","Full Term","M","9:30a","11:30a","CSED Cogni-1","(Adjunct), A M"
"CS 216","Lab","4","","","Full Term","T","3:30p","5:30p","CSED GML","(Adjunct), A M"
